Simulacion,RMSE
f1,86.43384265485989
f2,77.38019843988135
f3,72.52914090754425
f4,108.7393322040192
f5,122.62979101139038
f6,138.85690323002154
f7,185.8888417205224
f8,232.84026194768757
f9,266.3852129348724
f10,300.92106449042046
f11,305.8892636024974
f12,315.6902041871152
f13,350.6899399672965
f14,383.1114174188829
f15,376.61201959906373
