Date,Prediccion,holtwinters
2018-09-01,0.29190346598625183,0.27622681206780314
2018-09-02,0.29167842864990234,0.2766594224364792
2018-09-03,0.28870758414268494,0.26107682478289623
2018-09-04,0.2904837131500244,0.25816191487780077
2018-09-05,0.27721041440963745,0.255609192507794
2018-09-06,0.23746252059936523,0.2540483893387323
2018-09-07,0.22691717743873596,0.2472990095003867
2018-09-08,0.2265419065952301,0.24342185341190625
2018-09-09,0.22433386743068695,0.24190193823337372
2018-09-10,0.22544588148593903,0.2581257335247078
2018-09-11,0.2319737672805786,0.2493908765537903
2018-09-12,0.23751769959926605,0.24176860326041077
2018-09-13,0.23308585584163666,0.23848206716640846
2018-09-14,0.2457134872674942,0.2328069641055951
2018-09-15,0.2583903670310974,0.23387289205674058
