Date,Prediccion,holtwinters
2018-09-01,6085.9296875,6547.0421835451725
2018-09-02,6248.892578125,6622.434457187744
2018-09-03,6325.7138671875,6639.056925760575
2018-09-04,6360.90771484375,6537.978878857993
2018-09-05,6299.89599609375,6473.068649460235
2018-09-06,6303.02197265625,6496.411562875609
2018-09-07,6332.83349609375,6515.19425387531
2018-09-08,6408.078125,6468.549157676791
2018-09-09,6411.80322265625,6406.094091412331
2018-09-10,6432.33154296875,6390.7453745595485
2018-09-11,6518.51416015625,6395.225232767052
2018-09-12,6484.052734375,6418.820507153373
2018-09-13,6503.3681640625,6392.516552549698
2018-09-14,6453.380859375,6340.561099545411
2018-09-15,6474.0205078125,6289.006922878871
