Simulacion,RMSE
f1,80.22080411037552
f2,86.35842318935967
f3,96.64325377018993
f4,127.59369840366872
f5,138.18027173873628
f6,157.61511301921848
f7,173.32597168543734
f8,207.74337209861415
f9,216.025783054587
f10,257.14331654346506
f11,271.5195843013823
f12,288.962240404848
f13,333.0057516566068
f14,359.26377605256886
f15,361.7881649766867
