Date,Prediccion,holtwinters
2018-09-12,5291.5146484375,6592.486765498432
2018-09-13,5278.59228515625,6568.448781757816
2018-09-14,5269.3994140625,6519.144923106856
2018-09-15,5339.779296875,6470.496722845565
2018-09-16,5290.56982421875,6437.316243509205
2018-09-17,5538.021484375,6355.899109464248
2018-09-18,5557.29443359375,6229.210675358233
2018-09-19,5452.30517578125,6246.638393659304
2018-09-20,5460.7958984375,6180.6725245934285
2018-09-21,5530.84326171875,6161.095190510264
2018-09-22,5595.57958984375,6189.245525284292
2018-09-23,5476.849609375,6137.5836594268985
2018-09-24,5538.791015625,6070.234167516751
2018-09-25,5686.57275390625,6068.63711981858
2018-09-26,5757.755859375,6017.295617305133
