Date,Prediccion,holtwinters
2018-09-01,319.464111328125,237.1273401868778
2018-09-02,318.15802001953125,233.17978807330186
2018-09-03,311.84490966796875,222.34663922352954
2018-09-04,317.1490783691406,215.90782180360375
2018-09-05,315.0300598144531,212.85856802099346
2018-09-06,315.6613464355469,208.07671525200695
2018-09-07,311.838134765625,203.3192980885539
2018-09-08,305.38336181640625,199.1163359693166
2018-09-09,318.4386291503906,194.0808190541944
2018-09-10,319.0076904296875,192.27312567407947
2018-09-11,324.03704833984375,183.59379911394203
2018-09-12,320.875732421875,175.05119454405494
2018-09-13,326.75439453125,169.4961316509763
2018-09-14,328.3737487792969,163.2987623551146
2018-09-15,327.5628662109375,157.69017429587572
